1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour asthme,Taux d'hospitalisations après passages aux urgences pour asthme,Taux d'actes médicaux SOS médecins pour asthme
2021-08-16,2021-S33,01,Guadeloupe,65 ans ou plus,265.95744681,0.0,
2021-08-23,2021-S34,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2021-08-23,2021-S34,01,Guadeloupe,Tous âges,1033.3863275,0.0,
2021-08-30,2021-S35,01,Guadeloupe,15-64 ans,604.22960725,636.94267516,
2021-08-30,2021-S35,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2021-08-30,2021-S35,01,Guadeloupe,Tous âges,725.80645161,837.98882682,
2021-09-06,2021-S36,01,Guadeloupe,15-64 ans,980.39215686,1886.7924528,
2021-09-13,2021-S37,01,Guadeloupe,Tous âges,781.25,1838.2352941,
2021-09-20,2021-S38,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2021-10-11,2021-S41,01,Guadeloupe,00-14 ans,18163.265306,45614.035088,
2021-10-11,2021-S41,01,Guadeloupe,15-64 ans,1147.5409836,925.92592593,
2021-10-11,2021-S41,01,Guadeloupe,Tous âges,7158.1961346,9342.5605536,
2021-10-18,2021-S42,01,Guadeloupe,00-14 ans,15978.456014,27083.333333,
2021-10-25,2021-S43,01,Guadeloupe,65 ans ou plus,350.87719298,0.0,
2021-10-25,2021-S43,01,Guadeloupe,Tous âges,3916.4490862,2941.1764706,
2021-11-01,2021-S44,01,Guadeloupe,15-64 ans,1262.2720898,934.57943925,
2021-11-01,2021-S44,01,Guadeloupe,65 ans ou plus,413.2231405,1204.8192771,
2021-11-01,2021-S44,01,Guadeloupe,Tous âges,3223.4432234,4184.1004184,
2021-11-08,2021-S45,01,Guadeloupe,00-14 ans,11697.247706,13888.888889,
2021-11-08,2021-S45,01,Guadeloupe,Tous âges,4230.2357836,2811.2449799,
2021-11-15,2021-S46,01,Guadeloupe,00-14 ans,11136.890951,16363.636364,
2021-11-15,2021-S46,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2021-11-22,2021-S47,01,Guadeloupe,15-64 ans,1642.3357664,952.38095238,
2021-11-29,2021-S48,01,Guadeloupe,15-64 ans,1118.2108626,952.38095238,
2021-11-29,2021-S48,01,Guadeloupe,Tous âges,2453.4686971,2845.5284553,
2021-12-06,2021-S49,01,Guadeloupe,15-64 ans,633.91442155,0.0,
2021-12-20,2021-S51,01,Guadeloupe,00-14 ans,14741.035857,16666.666667,
2021-12-20,2021-S51,01,Guadeloupe,15-64 ans,1260.5042017,0.0,
2021-12-27,2021-S52,01,Guadeloupe,65 ans ou plus,312.5,0.0,
2022-01-03,2022-S01,01,Guadeloupe,00-14 ans,4483.4307992,7142.8571429,
2022-01-03,2022-S01,01,Guadeloupe,15-64 ans,749.62518741,1162.7906977,
2022-01-03,2022-S01,01,Guadeloupe,65 ans ou plus,357.14285714,917.43119266,
2022-01-03,2022-S01,01,Guadeloupe,Tous âges,1986.3013699,2390.438247,
2022-01-10,2022-S02,01,Guadeloupe,00-14 ans,8616.7800454,14634.146341,
2022-01-10,2022-S02,01,Guadeloupe,15-64 ans,1860.4651163,943.39622642,
2022-01-10,2022-S02,01,Guadeloupe,65 ans ou plus,291.5451895,0.0,
2022-01-17,2022-S03,01,Guadeloupe,00-14 ans,8674.6987952,3125.0,
2022-01-17,2022-S03,01,Guadeloupe,15-64 ans,642.05457464,943.39622642,
2022-01-24,2022-S04,01,Guadeloupe,15-64 ans,149.7005988,0.0,
2022-01-24,2022-S04,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2022-02-07,2022-S06,01,Guadeloupe,00-14 ans,8251.4734774,15909.090909,
